resort_name,name,location_type,latitude,longitude,elevation_feet,is_primary,notes,source_url
3 Peaks Dolomites,3 Zinnen Valley Snow-Report Elevation,base,46.729,12.324,3707,true,"3 Zinnen Dolomites live-info PDF reports snow height for valley/Tal at 1,130 m and mountain/Berg at 2,225 m. Coordinates remain aggregate resort coordinates and approximate.",https://www.dreizinnen.com/live-info/dreizinnen_dolomites_liveinfo.pdf
ABLE Hakuba Goryu Snow Resort,Primary Base / Forecast Point,base,36.662,137.836,2461,true,Official Hakuba Valley snow-resort info page lists course elevation lowest 750 m and highest 1676 m for ABLE Hakuba Goryu Snow Resort; primary uses lowest official course elevation. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.,https://www.hakubavalley.com/en/ski_resort_info_en/
APPI Resort,Primary Base / Forecast Point,base,39.99779,140.96633,1640,true,Official APPI Resort page identifies the resort at the foot of Maemori Mountain; primary uses approximate lower resort elevation 500 m pending direct official base-elevation capture. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.,https://www.appi.co.jp/en/
Afton Alps,Primary Base / Forecast Point,base,44.8541,-92.7878,350,true,"Official Vail/Afton Alps mountain information lists base elevation 350 ft and highest elevation 700 ft; mountain-stat elevations, not named weather stations. Coordinates remain the existing approximate resort/base forecast-point coordinates from data/resorts.csv unless a future official station coordinate is found.",https://www.aftonalps.com/the-mountain/about-the-mountain/mountain-info.aspx
Alpe Cimbra Folgaria Lavarone,Alpe Cimbra Lower Ski-Area Elevation,base,45.918,11.171,3937,true,"Skirama official resort network page and Trentino sources describe the Alpe Cimbra/Folgaria/Lavarone ski area reaching 1,850 m; lower area is represented as 1,200 m from regional ski-area summary. Coordinates are aggregate and approximate.",https://www.skirama.it/it/alpe-cimbra-folgaria-lavarone
Alpe Lusia – San Pellegrino,Alpe Lusia / San Pellegrino Lower Elevation,base,46.379,11.786,3904,true,"Dolomiti-ski official ski-area page reports Alpe Lusia–San Pellegrino altitudes between 1,190 and 2,517 m. Coordinates are aggregate resort coordinates and approximate.",https://www.dolomiti-ski.it/en/ski-areas/alpe-lusia-san-pellegrino/
Alpental,Alpental Base,base,47.444,-121.435699,3100,true,"NWAC precipitation data portal lists Alpental Base at latitude 47.444 and elevation 3,100 ft; Summit at Snoqualmie official mountain report says overnight telemetry is based on NWAC data. Longitude not exposed in search crawl, so existing resort longitude is retained as approximate.",https://nwac.us/data-portal/accumulations/precipitation/
Alpine Meadows,Alpine Meadows Base / Roundhouse Bottom,base,39.1646,-120.2381,6950,true,"Official Palisades Tahoe article lists Alpine sensors including bottom of Roundhouse at 6,950 ft; coordinate is existing Alpine Meadows base coordinate and approximate. Typed as base because this official snow-reporting sensor is at the Alpine Meadows base/Roundhouse bottom reporting level.",https://blog.palisadestahoe.com/operations/how-we-report-snow/
Alpine Meadows,Roundhouse Top Sensor,weather_station,39.1646,-120.2381,7880,false,"Official Palisades Tahoe article lists top of Roundhouse Chair at 7,880 ft; coordinate approximates Alpine Meadows side pending official station coordinates.",https://blog.palisadestahoe.com/operations/how-we-report-snow/
Alpine Meadows,Scott Chair Bottom Sensor,weather_station,39.1646,-120.2381,7075,false,"Official Palisades Tahoe article lists bottom of Scott Chair at 7,075 ft; coordinate approximates Alpine Meadows side pending official station coordinates.",https://blog.palisadestahoe.com/operations/how-we-report-snow/
Alpine Meadows,Scott Chair Top Sensor,weather_station,39.1646,-120.2381,8120,false,"Official Palisades Tahoe article lists top of Scott Chair at 8,120 ft; coordinate approximates Alpine Meadows side pending official station coordinates.",https://blog.palisadestahoe.com/operations/how-we-report-snow/
Alpine Meadows,Summit Sensor,summit,39.1646,-120.2381,8643,false,"Official Palisades Tahoe article lists top of Summit at 8,643 ft; coordinate approximates Alpine Meadows side pending official station coordinates. Typed as summit because the official Palisades Tahoe snow-reporting article identifies it as the Alpine Meadows summit sensor.",https://blog.palisadestahoe.com/operations/how-we-report-snow/
Alpine Valley (OH),Primary Base / Forecast Point,base,41.5261,-81.2536,1260,true,"Official Vail/Alpine Valley Ohio mountain information lists base elevation 1,260 ft and highest elevation 1,500 ft; mountain-stat elevations, not named weather stations. Coordinates remain the existing approximate resort/base forecast-point coordinates from data/resorts.csv unless a future official station coordinate is found.",https://www.alpinevalleyohio.com/the-mountain/about-the-mountain/mountain-info.aspx
