region,country,state_or_region,month,baseline_base_depth_inches,good_base_depth_inches,excellent_base_depth_inches,notes,source_url
Colorado Rockies,United States,Colorado,11,12,24,40,"First-pass high-elevation Rocky Mountain heuristic; replace with resort/SNOTEL monthly medians after station mapping.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Colorado Rockies,United States,Colorado,12,24,42,65,"First-pass high-elevation Rocky Mountain heuristic; based on regional SNOTEL/SNOW climatology concept, not a resort-specific median.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Colorado Rockies,United States,Colorado,1,32,54,80,"First-pass high-elevation Rocky Mountain heuristic; compare to NRCS 1991-2020 station normals when implemented.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Colorado Rockies,United States,Colorado,2,38,62,90,"First-pass high-elevation Rocky Mountain heuristic; February/March usually nearer seasonal snowpack peak.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Colorado Rockies,United States,Colorado,3,40,64,95,"First-pass high-elevation Rocky Mountain heuristic; spring warmth guardrails still apply.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Colorado Rockies,United States,Colorado,4,28,48,75,"First-pass high-elevation Rocky Mountain heuristic; low-elevation spring melt should cap scores.",https://www.nohrsc.noaa.gov/
Utah Wasatch,United States,Utah,11,14,28,45,"First-pass Wasatch heuristic; replace with Alta/Snowbird-area station and resort-location baselines.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Utah Wasatch,United States,Utah,12,30,50,80,"First-pass Wasatch heuristic; high-snow continental/intermountain region.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Utah Wasatch,United States,Utah,1,42,70,105,"First-pass Wasatch heuristic; use resort-specific SNOTEL/SNOW course mapping later.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Utah Wasatch,United States,Utah,2,48,78,115,"First-pass Wasatch heuristic; February/March near stronger seasonal coverage.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Utah Wasatch,United States,Utah,3,50,80,120,"First-pass Wasatch heuristic; spring temperature penalties prevent over-scoring warm days.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Utah Wasatch,United States,Utah,4,34,58,90,"First-pass Wasatch heuristic; lower-elevation spring melt requires elevation-aware scoring.",https://www.nohrsc.noaa.gov/
Northern Rockies,United States,"Idaho/Montana/Wyoming",11,12,24,40,"First-pass regional heuristic for ID/MT/WY resorts; station mapping needed for Tetons vs northern/continental sites.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Northern Rockies,United States,"Idaho/Montana/Wyoming",12,26,44,70,"First-pass regional heuristic; use NRCS SNOTEL and snow course normals later.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Northern Rockies,United States,"Idaho/Montana/Wyoming",1,36,60,90,"First-pass regional heuristic; cold continental snow can ski well but thin bases remain limiting.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Northern Rockies,United States,"Idaho/Montana/Wyoming",2,42,68,100,"First-pass regional heuristic; station-level depth percentiles recommended later.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Northern Rockies,United States,"Idaho/Montana/Wyoming",3,42,68,100,"First-pass regional heuristic; spring warmth/rain guardrails still apply.",https://www.drought.gov/data-maps-tools/nrcs-snotel-and-snow-course-data
Northern Rockies,United States,"Idaho/Montana/Wyoming",4,28,48,75,"First-pass regional heuristic; lower-elevation melt should cap scores.",https://www.nohrsc.noaa.gov/
Sierra Nevada,United States,California,11,12,28,50,"First-pass maritime/Sierra heuristic; large storms can build base quickly but rain line is critical.",https://www.nohrsc.noaa.gov/
Sierra Nevada,United States,California,12,28,55,90,"First-pass Sierra heuristic; replace with SNODAS/NOHRSC or resort snow-plot historical baselines.",https://www.nohrsc.noaa.gov/
Sierra Nevada,United States,California,1,45,80,130,"First-pass Sierra heuristic; wet/heavy snowpack supports deep bases but rain penalties are essential.",https://www.nohrsc.noaa.gov/
Sierra Nevada,United States,California,2,55,95,150,"First-pass Sierra heuristic; high excellent threshold reflects maritime deep-snow regime.",https://www.nohrsc.noaa.gov/
Sierra Nevada,United States,California,3,60,100,160,"First-pass Sierra heuristic; March depth may be strong but warm spring days require caps.",https://www.nohrsc.noaa.gov/
Sierra Nevada,United States,California,4,45,75,125,"First-pass Sierra heuristic; spring operations depend heavily on elevation and overnight freezes.",https://www.nohrsc.noaa.gov/
Pacific Northwest Cascades,United States,"Washington/Oregon",11,14,32,55,"First-pass maritime Cascade heuristic; rain line/wind can dominate quality.",https://www.nohrsc.noaa.gov/
Pacific Northwest Cascades,United States,"Washington/Oregon",12,35,70,110,"First-pass Cascade heuristic; deep snowpack thresholds but strong rain penalties.",https://www.nohrsc.noaa.gov/
Pacific Northwest Cascades,United States,"Washington/Oregon",1,55,95,150,"First-pass Cascade heuristic; maritime snowpacks can be deep but temperature/rain-sensitive.",https://www.nohrsc.noaa.gov/
Pacific Northwest Cascades,United States,"Washington/Oregon",2,65,110,170,"First-pass Cascade heuristic; station/gridded baselines should distinguish high Cascade vs low pass resorts.",https://www.nohrsc.noaa.gov/
Pacific Northwest Cascades,United States,"Washington/Oregon",3,70,115,180,"First-pass Cascade heuristic; high base alone should not overcome rain/warmth.",https://www.nohrsc.noaa.gov/
Pacific Northwest Cascades,United States,"Washington/Oregon",4,50,85,140,"First-pass Cascade heuristic; spring freeze/thaw not captured directly yet.",https://www.nohrsc.noaa.gov/
Northeast,United States,"Vermont/New Hampshire/Maine/New York",11,6,14,24,"First-pass Eastern heuristic; snowmaking/terrain-open fields should eventually adjust low natural depth.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Northeast,United States,"Vermont/New Hampshire/Maine/New York",12,14,28,44,"First-pass Eastern heuristic; NOAA climate normals/GHCNd can seed station baselines.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Northeast,United States,"Vermont/New Hampshire/Maine/New York",1,22,38,60,"First-pass Eastern heuristic; rain/refreeze and surface condition fields are especially important later.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Northeast,United States,"Vermont/New Hampshire/Maine/New York",2,24,42,65,"First-pass Eastern heuristic; base thresholds lower than western high-snow regions because of grooming/snowmaking.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Northeast,United States,"Vermont/New Hampshire/Maine/New York",3,18,34,55,"First-pass Eastern heuristic; spring warmth and rain penalties should be aggressive.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Northeast,United States,"Vermont/New Hampshire/Maine/New York",4,8,20,35,"First-pass Eastern heuristic; late-season scoring should require operating status and terrain-open fields when available.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Midwest,United States,"Minnesota/Wisconsin/Michigan/Ohio/Indiana/Missouri",11,4,10,18,"First-pass Midwest heuristic; snowmaking/operating terrain will be more predictive than natural base.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Midwest,United States,"Minnesota/Wisconsin/Michigan/Ohio/Indiana/Missouri",12,10,20,32,"First-pass Midwest heuristic; use NOAA station snow depth/snowfall normals later.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Midwest,United States,"Minnesota/Wisconsin/Michigan/Ohio/Indiana/Missouri",1,14,26,40,"First-pass Midwest heuristic; cold temperatures preserve machine-made base.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Midwest,United States,"Minnesota/Wisconsin/Michigan/Ohio/Indiana/Missouri",2,12,24,38,"First-pass Midwest heuristic; rain and thaw penalties remain critical.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Midwest,United States,"Minnesota/Wisconsin/Michigan/Ohio/Indiana/Missouri",3,6,16,28,"First-pass Midwest heuristic; late-season operations depend on grooming/snowmaking stockpile.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
Midwest,United States,"Minnesota/Wisconsin/Michigan/Ohio/Indiana/Missouri",4,0,8,16,"First-pass Midwest heuristic; most alpine operations are closed or marginal.",https://www.ncei.noaa.gov/products/land-based-station/us-climate-normals
British Columbia Coast,Canada,British Columbia,11,14,34,60,"First-pass Coast Mountains heuristic; BC ASWS/snow survey data should replace regional thresholds.",https://www2.gov.bc.ca/gov/content/environment/air-land-water/water/water-science-data/water-data-tools/snow-survey-data
British Columbia Coast,Canada,British Columbia,12,40,80,125,"First-pass Coast Mountains heuristic; rain line/freezing level is a dominant quality factor.",https://www2.gov.bc.ca/gov/content/environment/air-land-water/water/water-science-data/water-data-tools/snow-survey-data
British Columbia Coast,Canada,British Columbia,1,65,110,175,"First-pass Coast Mountains heuristic; deep maritime snowpack but strong rain penalties.",https://www2.gov.bc.ca/gov/content/environment/air-land-water/water/water-science-data/water-data-tools/snow-survey-data
British Columbia Coast,Canada,British Columbia,2,75,125,190,"First-pass Coast Mountains heuristic; station/elevation mapping needed for low base areas.",https://www2.gov.bc.ca/gov/content/environment/air-land-water/water/water-science-data/water-data-tools/snow-survey-data
British Columbia Coast,Canada,British Columbia,3,80,130,200,"First-pass Coast Mountains heuristic; warm lower-mountain conditions should cap score.",https://www2.gov.bc.ca/gov/content/environment/air-land-water/water/water-science-data/water-data-tools/snow-survey-data
British Columbia Coast,Canada,British Columbia,4,60,100,160,"First-pass Coast Mountains heuristic; spring freeze/thaw fields needed later.",https://www2.gov.bc.ca/gov/content/environment/air-land-water/water/water-science-data/water-data-tools/snow-survey-data
Canadian Rockies,Canada,"Alberta/British Columbia",11,12,26,45,"First-pass Canadian Rockies heuristic; combine ECCC/GHCNd and provincial snow data later.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Canadian Rockies,Canada,"Alberta/British Columbia",12,28,50,80,"First-pass Canadian Rockies heuristic; continental cold supports preservation but thin bases remain limiting.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Canadian Rockies,Canada,"Alberta/British Columbia",1,38,65,100,"First-pass Canadian Rockies heuristic; replace with station/elevation baselines.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Canadian Rockies,Canada,"Alberta/British Columbia",2,44,72,110,"First-pass Canadian Rockies heuristic; station mapping needed for Banff vs interior BC differences.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Canadian Rockies,Canada,"Alberta/British Columbia",3,44,72,110,"First-pass Canadian Rockies heuristic; spring temperature guardrails still apply.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Canadian Rockies,Canada,"Alberta/British Columbia",4,30,52,80,"First-pass Canadian Rockies heuristic; late season quality depends on elevation and overnight freeze.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Europe Alps,Multi,"France/Switzerland/Austria/Italy",11,10,24,42,"First-pass Alps heuristic; use national met services or Copernicus/gridded products later.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Europe Alps,Multi,"France/Switzerland/Austria/Italy",12,24,46,75,"First-pass Alps heuristic; elevation band more important than country.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Europe Alps,Multi,"France/Switzerland/Austria/Italy",1,34,62,95,"First-pass Alps heuristic; resort-specific elevation and aspect baselines recommended.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Europe Alps,Multi,"France/Switzerland/Austria/Italy",2,40,70,110,"First-pass Alps heuristic; replace after identifying public national snow/climate datasets.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Europe Alps,Multi,"France/Switzerland/Austria/Italy",3,38,68,105,"First-pass Alps heuristic; spring temperature/freezing-level penalties are important.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Europe Alps,Multi,"France/Switzerland/Austria/Italy",4,24,48,80,"First-pass Alps heuristic; low valley operations may be marginal despite alpine base.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Japan Honshu/Hokkaido,Japan,"Nagano/Niigata/Hokkaido/Iwate",11,10,24,42,"First-pass Japan heuristic; public historical station/gridded baselines need separate research.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Japan Honshu/Hokkaido,Japan,"Nagano/Niigata/Hokkaido/Iwate",12,30,60,95,"First-pass Japan heuristic; heavy-snow regions but elevation/rain differences matter.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Japan Honshu/Hokkaido,Japan,"Nagano/Niigata/Hokkaido/Iwate",1,55,95,150,"First-pass Japan heuristic; replace with Japan Meteorological Agency or vetted public station baselines.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Japan Honshu/Hokkaido,Japan,"Nagano/Niigata/Hokkaido/Iwate",2,65,110,170,"First-pass Japan heuristic; powder-rich regions need rain/warmth caps at low elevations.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Japan Honshu/Hokkaido,Japan,"Nagano/Niigata/Hokkaido/Iwate",3,50,85,135,"First-pass Japan heuristic; warm storms can rapidly degrade lower mountain.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
Japan Honshu/Hokkaido,Japan,"Nagano/Niigata/Hokkaido/Iwate",4,25,50,85,"First-pass Japan heuristic; late-season quality varies sharply by elevation.",https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
