name,country,state_or_region,website_url,notes
Alta - Snowbird,United States,Utah,https://www.ikonpass.com/en/faq,Ikon FAQ identifies Alta Ski Area and Snowbird as combined-access destinations for full Ikon Pass.
Aspen Snowmass,United States,Colorado,https://www.aspensnowmass.com/,"Shared Ikon access destination covering Aspen Mountain, Snowmass, Aspen Highlands, and Buttermilk."
Big Bear Mountain Resort,United States,California,https://www.bigbearmountainresort.com/,Official Ikon marketed/shared-access destination with 2 member resort/base-area rows in Ikon CMS.
Chamonix Mont-Blanc Valley,,Haute Savoie,https://www.montblancnaturalresort.com/fr/,Ikon FAQ lists this as a combined-access destination; individual member areas should be expanded in a later research pass.
"Coronet Peak, The Remarkables, Mt Hutt",New Zealand,New Zealand,https://www.nzski.com,Official Ikon marketed/shared-access destination with 3 member resort/base-area rows in Ikon CMS.
Dolomiti Superski,,BZ,https://www.dolomitisuperski.com/en,Official Ikon marketed/shared-access destination with 12 member resort/base-area rows in Ikon CMS.
Grandvalira Resorts Andorra,Andorra,Andorra,https://www.grandvalira.com/en/?season-switch,Ikon FAQ lists this as a combined-access destination; individual member areas should be expanded in a later research pass.
Hakuba Valley,Japan,Nagano,https://www.epicpass.com/regions/japan/hakuba-valley.aspx,Epic partner group with 10 ski resorts; official page states five consecutive days with no restricted dates at any Hakuba Valley resort.
Killington - Pico,United States,Vermont,http://www.killington.com/,Official Ikon marketed/shared-access destination with 2 member resort/base-area rows in Ikon CMS.
Les 3 Vallées,France,Savoie,https://www.les3vallees.com/,"Official Epic Europe page states Epic Pass includes 7 consecutive days at Les 3 Vallées, France."
Niseko United,Japan,Japan,http://www.niseko.ne.jp/en/,Official Ikon marketed/shared-access destination with 4 member resort/base-area rows in Ikon CMS.
Palisades Tahoe,United States,California,https://www.palisadestahoe.com/,Shared Ikon access destination covering Palisades Tahoe/Olympic Valley and Alpine Meadows.
Resorts of the Canadian Rockies,Canada,British Columbia/Alberta/Quebec,https://www.epicpass.com/regions/canada/rcr.aspx,Epic partner group: official RCR page states full Epic Pass holders receive up to 7 total days across six RCR resorts.
Saalbach & Zell am See-Kaprun,Austria,Salzburg,https://www.saalbach.com/,Official Epic partner page states Epic Pass includes 5 days across Skicircus Saalbach Hinterglemm Leogang Fieberbrunn and Kitzsteinhorn/Zell am See-Kaprun.
Shiga Kogen Mountain Resort,Japan,Japan,https://www.shigakogen-ski.or.jp/,Official Ikon marketed/shared-access destination with 18 member resort/base-area rows in Ikon CMS.
Ski Arlberg,Austria,Tyrol/Vorarlberg,https://www.skiarlberg.at/,Official Epic partner page states Epic Pass holders receive 3 consecutive days at Arlberg ski resorts when staying minimum consecutive nights at participating lodging booked directly through lodging partners.
SkiBig3,Canada,Alberta,https://www.skibig3.com/?utm_source=ikon&utm_medium=banner&utm_campaign=launch,Official Ikon marketed/shared-access destination with 3 member resort/base-area rows in Ikon CMS.
Skirama Dolomiti,Italy,Trentino,https://www.skirama.it/,"Official Epic Europe page states Epic Pass includes 7 consecutive days at Skirama Dolomiti, Italy; member list is a practical decomposition of the Skirama ski areas and should be rechecked against final Epic redemption terms."
St. Moritz,Switzerland,Switzerland,https://www.stmoritz.com/en/directory/sports/ski-snowboard/ikon-pass,Ikon FAQ lists this as a combined-access destination; individual member areas should be expanded in a later research pass.
Sun Valley,United States,Idaho,https://www.sunvalley.com/ikon,Official Ikon marketed/shared-access destination with 2 member resort/base-area rows in Ikon CMS.
The Summit at Snoqualmie,United States,Washington,http://www.summitatsnoqualmie.com,Official Ikon marketed/shared-access destination with 2 member resort/base-area rows in Ikon CMS.
Valle d’Aosta,Italy,Italy,https://www.skilife.ski/en/,Official Ikon marketed/shared-access destination with 5 member resort/base-area rows in Ikon CMS.
Verbier 4 Vallées,Switzerland,Valais,https://www.verbier4vallees.ch/,Official Epic partner page states Epic Pass holders receive five consecutive days of unrestricted access to Verbier 4 Vallées.
Whistler Blackcomb,Canada,British Columbia,https://www.whistlerblackcomb.com/,Epic Canada/Vail-owned destination spanning Whistler Mountain and Blackcomb Mountain; modeled as a group for physical mountain weather comparisons.
Zillertal,Austria,Tyrol,https://www.zillertal.at/en/,Official Epic partner page states Epic Pass includes 5 consecutive days across Zillertal resorts in Austria; 2026/27 source notes expansion beyond Mayrhofen/Hintertux.
