resort_name,resort_location_name,observed_at,base_depth_inches,upper_depth_inches,lower_depth_inches,new_snow_24h_inches,new_snow_48h_inches,new_snow_7d_inches,surface_condition,source_name,source_url,queried_at,notes
Mammoth Mountain,,2026-05-22,28,115,,,,,Spring snow,Skiresort.info Mammoth Mountain snow report,https://www.skiresort.info/ski-resort/mammoth-mountain/snow-report/,2026-05-26T03:15:14Z,Converted 71 cm base to 28 in and 292 cm mountain to 115 in. Resort planned open through 2026-05-31 per source. Location left blank because source reports base/mountain levels rather than a named repo resort_location row.
Alta Ski Area,Base Weather,2026-05-25T17:00:00-06:00,54,,,0,,,Partly Cloudy,Alta official current conditions,https://www.alta.com/status,2026-05-26T03:15:14Z,Official current-conditions search result reported Base 54 in and 24 hr 0 in. Observed timestamp uses resort-local date from queried context; verify time zone if importing automatically. Mapped to existing resort_locations.csv row Base Weather.
Alpine Valley (OH),,2026-02-25T15:17:00-05:00,42,,,0,0,0,Snow Groomed,Alpine Valley official snow and weather report,https://www.alpinevalleyohio.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:45:00Z,"Official search result exposed base depth 42 in, 0 in 24h/48h/7d snowfall, current season 102 in, updated Feb. 25 2026. Treat as stale/off-season final winter report until confirmed by live API/widget."
Attitash Mountain,,2026-04-05,0,,,,,,Closed,Attitash official snow and weather report,https://www.attitash.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:50:01Z,"Official page exposed the April 5, 2026 closing report and stated the Winter 2025/26 season had concluded. Per project data policy, source-supported closed/off-season status is recorded as 0 inches rather than left blank."
Afton Alps,,2026-05-20,0,,,,,,Closed,Afton Alps official snow and weather report,https://www.aftonalps.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:50:01Z,"Official Vail Resorts snow/weather page did not expose a current base-depth number, and the source context indicated the resort was closed for the 2025/26 winter season. Per project data policy, source-supported closed/off-season status is recorded as 0 inches rather than left blank."
Alpental,Alpental Base,2026-04-13T07:30:00,26,58,,0,0,,,Summit at Snoqualmie Alpental official mountain report,https://www.summitatsnoqualmie.com/alpental/mountain-report,2026-05-26T04:10:00Z,"Official report provided separate Alpental, Mid, and Top base-depth values. Stored Alpental base as base_depth_inches and Alpental Top as upper_depth_inches; mid value 51 in is preserved in notes. Closing-season update, not an in-season live value."
Arapahoe Basin,Primary Base / Forecast Point,2026-05-25,0,,,0,0,,,A-Basin official snow report,https://www.arapahoebasin.com/snow-report/,2026-05-26T04:10:00Z,"Official snow report exposed 0 in base and 0 in 24/48 hr snowfall with 0 lifts/runs open. This is a clear current zero-base report, not an inferred value. Mapped to existing resort_locations.csv primary base row."
Crystal Mountain Resort,,2026-04-12T12:00:00,36,67,,0,,,Variable Conditions,OnTheSnow Crystal Mountain snow report,https://www.onthesnow.com/united-states/crystal-mountain-wa/skireport,2026-05-26T04:10:00Z,Aggregator fallback; reported as resort-sourced during official season. Mid-mountain 54 in preserved in notes. Treat as stale/off-season until official live report/API is available.
Blue Mountain Resort,,2025-12-29,18,36,,0,,,Machine Groomed / Packed Powder,OnTheSnow Blue Mountain Resort PA snow report,https://www.onthesnow.com/united-states/blue-mountain-ski-area/skireport,2026-05-26T04:10:00Z,Aggregator fallback explicitly says reports are sourced directly from the resort during official season. Stale Dec. 29 report; replace with official current conditions when available.
ABLE Hakuba Goryu Snow Resort,,2026-05-03T16:14:00+09:00,12,,,,,,,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T04:35:00Z,Official Hakuba Valley listing exposed ABLE Hakuba GORYU snow depth 30 cm; converted to 12 in. Location left blank because the listing did not map the value to a repo location row.
Hakuba Happo-one Snow Resort,,2026-05-18T10:08:00+09:00,0,,,,,,,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T04:35:00Z,Official Hakuba Valley listing exposed Happo-One snow depth 0 cm; converted to 0 in. Off/late-season context likely.
Hakuba Iwatake Snow Field,,2026-04-13T11:52:00+09:00,0,,,,,,,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T04:35:00Z,Official Hakuba Valley listing exposed Iwatake snow depth 0 cm; converted to 0 in. Closed/off-season context.
Mt Buller,,2026-05-09T15:00:00+10:00,0,,,0,,,No Snow,Mt Buller official snow report,https://www.mtbuller.com.au/Winter/snow-weather/snow-report,2026-05-26T05:05:00Z,Official report says Resort cover No Snow and snow last 24 hours 0 cm. Recorded as 0 in base-depth equivalent because the official report explicitly indicates no snow cover.
Mt Hutt,,2026-05-26,0,0,,,,,Closed / N/A,Snow-Online Mt Hutt snow report,https://www.snow-online.com/snow-report/ski-resort/mt-hutt.html,2026-05-26T05:05:00Z,Aggregator fallback; converted 0 cm lower and upper snow depths to 0 in. Official page confirms SnowSAT snow-base methodology but did not expose current numeric value in captured text.
Banff Sunshine,,2026-05-26,0,,,0,,,Open/late-season per source,SkiBig3 official snow conditions,https://www.skibig3.com/snow-conditions/,2026-05-26T05:05:00Z,"Official SkiBig3 page exposed Banff Sunshine Base 0 in, Overnight 0 in, 24 hours 0 in, season end May 18 2026. Date inferred from query date because source result displayed Updated as dash."
Lake Louise Ski Resort,,2026-05-26,0,,,0,,,Closed,SkiBig3 official snow conditions,https://www.skibig3.com/snow-conditions/,2026-05-26T05:05:00Z,"Official SkiBig3 page exposed Lake Louise Base 0 in, Overnight 0 in, 24 hours 0 in, status closed, season end May 03 2026. Date inferred from query date because source result displayed Updated as dash."
Mt. Norquay,,2026-05-26,0,,,0,,,Closed,SkiBig3 official snow conditions,https://www.skibig3.com/snow-conditions/,2026-05-26T05:05:00Z,"Official SkiBig3 page exposed Mt Norquay Base 0 in, Overnight 0 in, 24 hours 0 in, status closed, season end Apr 19 2026. Date inferred from query date because source result displayed Updated as dash."
