resort_name,source_name,source_type,snow_report_url,queried_url,queried_at,data_found,notes
Mammoth Mountain,Mammoth Mountain official conditions,official_resort,https://www.mammothmountain.com/on-the-mountain,https://www.mammothmountain.com/on-the-mountain,2026-05-26T03:15:14Z,false,Official Mammoth conditions page was queried first; search result confirms official conditions/weather/road/trail/lift report but did not expose current base-depth values in crawlable text for this research pass.
Mammoth Mountain,Skiresort.info Mammoth Mountain snow report,aggregator,https://www.skiresort.info/ski-resort/mammoth-mountain/snow-report/,https://www.skiresort.info/ski-resort/mammoth-mountain/snow-report/,2026-05-26T03:15:14Z,true,"Aggregator used because official page did not expose crawlable numeric depth. Search result reports updated 2026-05-22, base 71 cm at 2424 m, mountain 292 cm at 3369 m, spring snow, last snowfall 2026-04-25."
Breckenridge,Breckenridge official snow and weather report,official_resort,https://www.breckenridge.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.breckenridge.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:15:14Z,false,Official Breckenridge snow/weather page queried; current crawl/search text confirms forecast/snow/temperature reporting but did not expose a current base-depth value in this pass.
Vail,Vail official snow and weather report,official_resort,https://www.vail.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.vail.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:15:14Z,false,Official Vail snow/weather report URL recorded for follow-up; numeric current base-depth was not available in current searched/crawled text in this pass.
Park City Mountain,Park City official snow and weather report,official_resort,https://www.parkcitymountain.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,https://www.parkcitymountain.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,2026-05-26T03:15:14Z,false,Official Park City/Vail Resorts snow-weather page recorded for follow-up; search pass did not expose current numeric base-depth values.
Park City Mountain,Skiresort.info Park City snow report,aggregator,https://www.skiresort.info/ski-holiday-in/park-city-549/snow-report/,https://www.skiresort.info/ski-holiday-in/park-city-549/snow-report/,2026-05-26T03:15:14Z,true,"Aggregator search result reports 180 cm base at 2073 m, but crawl age was two months; treat as stale and do not create current observation without direct fresh confirmation."
Palisades Tahoe,Palisades Tahoe official snow reporting methodology,official_resort,https://blog.palisadestahoe.com/operations/how-we-report-snow/,https://blog.palisadestahoe.com/operations/how-we-report-snow/,2026-05-26T03:15:14Z,false,"Official methodology page queried. It explains base-depth reporting at the base and about 8,000 ft at each mountain, including lower mountain snow plot at Patrol Shack 6,200 ft. It is not a current snow-depth report."
Deer Valley Resort,Deer Valley official conditions,official_resort,https://www.deervalley.com/mountain-report,https://www.deervalley.com/mountain-report,2026-05-26T03:15:14Z,false,Official mountain-report URL recorded for follow-up; current search pass did not expose numeric base-depth values.
Deer Valley Resort,Skiresort.info Deer Valley snow report,aggregator,https://www.skiresort.info/ski-resort/deer-valley/snow-report/,https://www.skiresort.info/ski-resort/deer-valley/snow-report/,2026-05-26T03:15:14Z,false,"Aggregator page queried via search; result showed base field as unavailable/dash at 1984 m, so no usable numeric snow-base observation was recorded."
Steamboat,Steamboat official mountain report,official_resort,https://www.steamboat.com/the-mountain/mountain-report,https://www.steamboat.com/the-mountain/mountain-report,2026-05-26T03:15:14Z,false,Official Steamboat mountain-report URL recorded for follow-up; current search pass did not expose numeric base-depth values.
